timestamp,Basel Temperature [2 m elevation corrected]
20180101T0000,9.790529
20180101T0100,8.970529
20180101T0200,8.690529
20180101T0300,7.9605284
20180101T0400,7.3605285
20180101T0500,6.8105288
20180101T0600,6.1505284
20180101T0700,5.9005284
20180101T0800,5.9305286
20180101T0900,6.7505283
20180101T1000,7.2105284
20180101T1100,7.8205285
20180101T1200,9.480529
20180101T1300,9.110529
20180101T1400,8.3005295
20180101T1500,8.200529
20180101T1600,8.080529
20180101T1700,6.5305285
20180101T1800,6.2705283
20180101T1900,6.1805286
20180101T2000,6.4505286
20180101T2100,6.1405287
20180101T2200,5.1805286
20180101T2300,5.5005283
20180102T0000,4.9305286
20180102T0100,4.5105286
20180102T0200,4.4805284
20180102T0300,4.3805285
20180102T0400,4.2305284
20180102T0500,4.0905285
20180102T0600,3.9505286
20180102T0700,3.7005286
20180102T0800,3.8305285
20180102T0900,4.4005284
20180102T1000,4.9505286
20180102T1100,5.4605284
20180102T1200,7.0005283
20180102T1300,7.2305284
20180102T1400,7.6905284
20180102T1500,7.8605285
20180102T1600,7.0905285
20180102T1700,6.7705283
20180102T1800,6.7505283
20180102T1900,6.8505287
20180102T2000,5.0205283
20180102T2100,4.6605287
20180102T2200,5.4005284
20180102T2300,6.9905286
20180103T0000,8.770529
20180103T0100,9.560529
20180103T0200,9.8005295
20180103T0300,9.990529
20180103T0400,10.990529
20180103T0500,11.370529
20180103T0600,12.0505295
20180103T0700,12.450529
20180103T0800,11.950529
20180103T0900,11.560529
20180103T1000,10.350529
20180103T1100,9.710529
20180103T1200,6.3105288
20180103T1300,8.090529
20180103T1400,7.6705284
20180103T1500,7.2605286
20180103T1600,6.7705283
20180103T1700,6.3905287
20180103T1800,6.2405286
20180103T1900,6.3105288
20180103T2000,6.3405285
20180103T2100,6.5505285
20180103T2200,6.7405286
20180103T2300,6.9005284
20180104T0000,7.2405286
20180104T0100,6.6205287
20180104T0200,6.5105286
20180104T0300,6.5805287
20180104T0400,6.7005286
20180104T0500,7.0705285
20180104T0600,7.040529
20180104T0700,7.2605286
20180104T0800,9.000529
20180104T0900,11.000529
20180104T1000,11.490529
20180104T1100,12.410529
20180104T1200,13.090529
20180104T1300,12.760529
20180104T1400,12.620529
20180104T1500,12.620529
20180104T1600,12.410529
20180104T1700,12.170529
20180104T1800,12.210529
20180104T1900,11.920529
20180104T2000,11.810529
20180104T2100,11.590529
20180104T2200,11.510529
20180104T2300,11.3005295
20180105T0000,11.170529
20180105T0100,10.840529
20180105T0200,10.140529
20180105T0300,9.900529
20180105T0400,9.920529
20180105T0500,9.070529
20180105T0600,8.760529
20180105T0700,9.520529
20180105T0800,9.720529
20180105T0900,11.390529
20180105T1000,12.140529
20180105T1100,13.060529
20180105T1200,14.540529
20180105T1300,13.710529
20180105T1400,13.330529
20180105T1500,14.010529
20180105T1600,13.020529
20180105T1700,11.860529
20180105T1800,11.930529
20180105T1900,11.310529
20180105T2000,10.100529
20180105T2100,9.840529
20180105T2200,9.510529
20180105T2300,9.010529
20180106T0000,8.650529
20180106T0100,8.710529
20180106T0200,8.680529
20180106T0300,8.660529
20180106T0400,8.440529
20180106T0500,7.9605284
20180106T0600,7.6105285
20180106T0700,6.8005285
20180106T0800,6.1005287
20180106T0900,7.1205287
20180106T1000,9.200529
20180106T1100,10.420529
20180106T1200,11.820529
20180106T1300,12.290529
20180106T1400,12.370529
20180106T1500,11.730529
20180106T1600,10.590529
20180106T1700,9.080529
20180106T1800,7.4905286
20180106T1900,6.9305286
20180106T2000,6.9005284
20180106T2100,6.5505285
20180106T2200,5.9905286
20180106T2300,6.2405286
20180107T0000,6.3605285
20180107T0100,6.2305284
20180107T0200,5.8705287
20180107T0300,5.4205284
20180107T0400,5.0005283
20180107T0500,5.0505285
20180107T0600,5.2205286
20180107T0700,4.5005283
20180107T0800,4.2105284
20180107T0900,5.1905284
20180107T1000,5.8805285
20180107T1100,6.4105287
20180107T1200,6.4605284
20180107T1300,7.7405286
20180107T1400,8.710529
20180107T1500,9.240529
20180107T1600,8.640529
20180107T1700,7.9205284
20180107T1800,7.3005285
20180107T1900,6.9105287
20180107T2000,6.8805285
20180107T2100,6.4705286
20180107T2200,6.1405287
20180107T2300,5.7005286
20180108T0000,4.8705287
20180108T0100,4.3505287
20180108T0200,4.0705285
20180108T0300,4.0605288
20180108T0400,3.8605285
20180108T0500,3.3505285
20180108T0600,3.1805286
20180108T0700,3.0105286
20180108T0800,3.0705285
20180108T0900,3.5705285
20180108T1000,4.4505286
20180108T1100,5.7105284
20180108T1200,11.100529
20180108T1300,12.270529
20180108T1400,12.510529
20180108T1500,12.180529
20180108T1600,8.790529
20180108T1700,7.0105286
20180108T1800,6.6005287
20180108T1900,6.4705286
20180108T2000,6.7105284
20180108T2100,6.9205284
20180108T2200,7.7205286
20180108T2300,7.7705283
20180109T0000,7.0005283
20180109T0100,5.9805284
20180109T0200,3.9705286
20180109T0300,3.6705287
20180109T0400,4.1605287
20180109T0500,4.0705285
20180109T0600,4.7205286
